transform,auc_baseline,auc_candidate,delta_auc,acc_baseline,acc_candidate,delta_acc,ci_disjoint
clean,0.9812,0.9797,-0.0015,0.9286,0.9257,-0.0029,no
jpeg_90,0.9832,0.9831,-0.0001,0.9414,0.9314,-0.0100,no
jpeg_70,0.9867,0.9897,+0.0030,0.9450,0.9457,+0.0007,no
jpeg_50,0.9825,0.9792,-0.0033,0.9371,0.9129,-0.0242,no
jpeg_30,0.9731,0.9756,+0.0025,0.9121,0.9229,+0.0108,no
blur_0.5,0.9814,0.9805,-0.0009,0.9250,0.9293,+0.0043,no
blur_1.0,0.9789,0.9791,+0.0002,0.8636,0.9114,+0.0478,no
blur_2.0,0.9727,0.9728,+0.0001,0.9021,0.9029,+0.0008,no
resize_0.5,0.9794,0.9790,-0.0004,0.8879,0.9264,+0.0385,no
resize_0.25,0.9675,0.9561,-0.0114,0.8950,0.8900,-0.0050,no
noise_0.02,0.9782,0.9659,-0.0123,0.9257,0.8979,-0.0278,no
noise_0.05,0.9756,0.9660,-0.0096,0.9171,0.9029,-0.0142,no
noise_0.10,0.9689,0.9567,-0.0122,0.9193,0.9014,-0.0179,no
jitter_0.20,0.9676,0.9637,-0.0039,0.9036,0.8971,-0.0065,no
crop_0.80,0.9792,0.9701,-0.0091,0.9300,0.8993,-0.0307,no
