transform,auc_baseline,auc_candidate,delta_auc,acc_baseline,acc_candidate,delta_acc,ci_disjoint
clean,0.9634,0.9812,+0.0178,0.9021,0.9286,+0.0265,yes
jpeg_90,0.9674,0.9832,+0.0158,0.9093,0.9414,+0.0321,yes
jpeg_70,0.9728,0.9867,+0.0139,0.9157,0.9450,+0.0293,yes
jpeg_50,0.9682,0.9825,+0.0143,0.9107,0.9371,+0.0264,yes
jpeg_30,0.9547,0.9731,+0.0184,0.8764,0.9121,+0.0357,yes
blur_0.5,0.9618,0.9814,+0.0196,0.8986,0.9250,+0.0264,yes
blur_1.0,0.9567,0.9789,+0.0222,0.8629,0.8636,+0.0007,yes
blur_2.0,0.9500,0.9727,+0.0227,0.8707,0.9021,+0.0314,yes
resize_0.5,0.9567,0.9794,+0.0227,0.8650,0.8879,+0.0229,yes
resize_0.25,0.9455,0.9675,+0.0220,0.8679,0.8950,+0.0271,yes
noise_0.02,0.9244,0.9782,+0.0538,0.8714,0.9257,+0.0543,yes
noise_0.05,0.8851,0.9756,+0.0905,0.8164,0.9171,+0.1007,yes
noise_0.10,0.8117,0.9689,+0.1572,0.6529,0.9193,+0.2664,yes
jitter_0.20,0.9362,0.9676,+0.0314,0.8714,0.9036,+0.0322,yes
crop_0.80,0.9521,0.9792,+0.0271,0.8850,0.9300,+0.0450,yes
