transform,auc_baseline,auc_candidate,delta_auc,acc_baseline,acc_candidate,delta_acc,ci_disjoint
clean,0.9629,0.9812,+0.0183,0.9007,0.9286,+0.0279,yes
jpeg_90,0.9658,0.9832,+0.0174,0.9107,0.9414,+0.0307,yes
jpeg_70,0.9736,0.9867,+0.0131,0.9186,0.9450,+0.0264,yes
jpeg_50,0.9667,0.9825,+0.0158,0.9079,0.9371,+0.0292,yes
jpeg_30,0.9557,0.9731,+0.0174,0.8843,0.9121,+0.0278,yes
blur_0.5,0.9638,0.9814,+0.0176,0.8979,0.9250,+0.0271,yes
blur_1.0,0.9622,0.9789,+0.0167,0.8593,0.8636,+0.0043,yes
blur_2.0,0.9536,0.9727,+0.0191,0.8793,0.9021,+0.0228,yes
resize_0.5,0.9621,0.9794,+0.0173,0.8657,0.8879,+0.0222,yes
resize_0.25,0.9472,0.9675,+0.0203,0.8714,0.8950,+0.0236,yes
noise_0.02,0.9572,0.9782,+0.0210,0.8929,0.9257,+0.0328,yes
noise_0.05,0.9563,0.9756,+0.0193,0.8843,0.9171,+0.0328,yes
noise_0.10,0.9512,0.9689,+0.0177,0.8957,0.9193,+0.0236,no
jitter_0.20,0.9411,0.9676,+0.0265,0.8657,0.9036,+0.0379,yes
crop_0.80,0.9578,0.9792,+0.0214,0.8921,0.9300,+0.0379,yes
