transform,head,n,acc,auc,auc_lo,auc_hi
clean,clip_only_4v,1400,0.8807,0.9501,0.9390,0.9604
clean,clip_only_5v,1400,0.8836,0.9510,0.9402,0.9614
clean,forensic_4v,1400,0.9007,0.9637,0.9542,0.9722
clean,forensic_5v,1400,0.8986,0.9630,0.9536,0.9715
jpeg_90,clip_only_4v,1400,0.8829,0.9535,0.9426,0.9634
jpeg_90,clip_only_5v,1400,0.8857,0.9538,0.9433,0.9638
jpeg_90,forensic_4v,1400,0.9086,0.9677,0.9588,0.9756
jpeg_90,forensic_5v,1400,0.9086,0.9659,0.9571,0.9741
jpeg_70,clip_only_4v,1400,0.9079,0.9685,0.9598,0.9763
jpeg_70,clip_only_5v,1400,0.9029,0.9673,0.9585,0.9753
jpeg_70,forensic_4v,1400,0.9136,0.9729,0.9648,0.9797
jpeg_70,forensic_5v,1400,0.9186,0.9737,0.9660,0.9806
jpeg_50,clip_only_4v,1400,0.9107,0.9662,0.9577,0.9741
jpeg_50,clip_only_5v,1400,0.8964,0.9622,0.9530,0.9707
jpeg_50,forensic_4v,1400,0.9114,0.9683,0.9598,0.9759
jpeg_50,forensic_5v,1400,0.9079,0.9668,0.9581,0.9748
jpeg_30,clip_only_4v,1400,0.8750,0.9473,0.9364,0.9578
jpeg_30,clip_only_5v,1400,0.8793,0.9511,0.9410,0.9612
jpeg_30,forensic_4v,1400,0.8764,0.9549,0.9448,0.9644
jpeg_30,forensic_5v,1400,0.8843,0.9558,0.9461,0.9656
blur_0.5,clip_only_4v,1400,0.8771,0.9489,0.9377,0.9593
blur_0.5,clip_only_5v,1400,0.8800,0.9500,0.9390,0.9604
blur_0.5,forensic_4v,1400,0.8986,0.9620,0.9524,0.9708
blur_0.5,forensic_5v,1400,0.8964,0.9639,0.9544,0.9724
blur_1.0,clip_only_4v,1400,0.8736,0.9466,0.9351,0.9573
blur_1.0,clip_only_5v,1400,0.8671,0.9480,0.9371,0.9586
blur_1.0,forensic_4v,1400,0.8621,0.9567,0.9463,0.9661
blur_1.0,forensic_5v,1400,0.8593,0.9624,0.9527,0.9709
blur_2.0,clip_only_4v,1400,0.8743,0.9404,0.9283,0.9515
blur_2.0,clip_only_5v,1400,0.8757,0.9414,0.9295,0.9528
blur_2.0,forensic_4v,1400,0.8686,0.9502,0.9388,0.9606
blur_2.0,forensic_5v,1400,0.8800,0.9537,0.9427,0.9636
resize_0.5,clip_only_4v,1400,0.8707,0.9452,0.9336,0.9559
resize_0.5,clip_only_5v,1400,0.8707,0.9468,0.9358,0.9573
resize_0.5,forensic_4v,1400,0.8636,0.9568,0.9465,0.9663
resize_0.5,forensic_5v,1400,0.8664,0.9622,0.9524,0.9709
resize_0.25,clip_only_4v,1400,0.8664,0.9353,0.9225,0.9472
resize_0.25,clip_only_5v,1400,0.8636,0.9355,0.9228,0.9476
resize_0.25,forensic_4v,1400,0.8707,0.9455,0.9338,0.9565
resize_0.25,forensic_5v,1400,0.8714,0.9474,0.9357,0.9581
noise_0.02,clip_only_4v,1400,0.8729,0.9417,0.9290,0.9533
noise_0.02,clip_only_5v,1400,0.8807,0.9484,0.9366,0.9592
noise_0.02,forensic_4v,1400,0.8793,0.9266,0.9119,0.9401
noise_0.02,forensic_5v,1400,0.8900,0.9574,0.9468,0.9668
noise_0.05,clip_only_4v,1400,0.8429,0.9412,0.9280,0.9523
noise_0.05,clip_only_5v,1400,0.8857,0.9505,0.9390,0.9605
noise_0.05,forensic_4v,1400,0.8079,0.8842,0.8651,0.9012
noise_0.05,forensic_5v,1400,0.8879,0.9583,0.9480,0.9676
noise_0.10,clip_only_4v,1400,0.8071,0.9250,0.9099,0.9382
noise_0.10,clip_only_5v,1400,0.8693,0.9430,0.9302,0.9548
noise_0.10,forensic_4v,1400,0.6671,0.8096,0.7862,0.8322
noise_0.10,forensic_5v,1400,0.8807,0.9494,0.9374,0.9601
jitter_0.20,clip_only_4v,1400,0.8443,0.9237,0.9099,0.9366
jitter_0.20,clip_only_5v,1400,0.8579,0.9334,0.9207,0.9452
jitter_0.20,forensic_4v,1400,0.8707,0.9364,0.9233,0.9484
jitter_0.20,forensic_5v,1400,0.8657,0.9411,0.9291,0.9522
crop_0.80,clip_only_4v,1400,0.8686,0.9397,0.9281,0.9508
crop_0.80,clip_only_5v,1400,0.8693,0.9405,0.9290,0.9513
crop_0.80,forensic_4v,1400,0.8836,0.9523,0.9421,0.9620
crop_0.80,forensic_5v,1400,0.8929,0.9579,0.9480,0.9670
