transform,n,acc,auc,auc_lo,auc_hi
clean,1400,0.9021,0.9634,0.9540,0.9719
jpeg_90,1400,0.9093,0.9674,0.9587,0.9755
jpeg_70,1400,0.9157,0.9728,0.9649,0.9796
jpeg_50,1400,0.9107,0.9682,0.9597,0.9758
jpeg_30,1400,0.8764,0.9547,0.9446,0.9642
blur_0.5,1400,0.8986,0.9618,0.9523,0.9706
blur_1.0,1400,0.8629,0.9567,0.9464,0.9660
blur_2.0,1400,0.8707,0.9500,0.9388,0.9605
resize_0.5,1400,0.8650,0.9567,0.9464,0.9662
resize_0.25,1400,0.8679,0.9455,0.9338,0.9564
noise_0.02,1400,0.8714,0.9244,0.9095,0.9381
noise_0.05,1400,0.8164,0.8851,0.8669,0.9025
noise_0.10,1400,0.6529,0.8117,0.7879,0.8339
jitter_0.20,1400,0.8714,0.9362,0.9230,0.9483
crop_0.80,1400,0.8850,0.9521,0.9418,0.9620
