condition,head,n,auc,auc_lo,auc_hi,tpr_at_1fpr,tpr_at_5fpr
clean,clip_only_4v,1400,0.9501,0.9389,0.9604,0.4412,0.7809
clean,clip_only_5v,1400,0.9511,0.9402,0.9614,0.5176,0.7868
clean,forensic_4v,1400,0.9635,0.9541,0.9720,0.5618,0.8588
clean,forensic_5v,1400,0.9630,0.9535,0.9715,0.5456,0.8500
jpeg95_x1,clip_only_4v,1400,0.9507,0.9396,0.9609,0.4897,0.7779
jpeg95_x1,clip_only_5v,1400,0.9516,0.9409,0.9618,0.4529,0.7941
jpeg95_x1,forensic_4v,1400,0.9640,0.9547,0.9723,0.5882,0.8618
jpeg95_x1,forensic_5v,1400,0.9635,0.9540,0.9720,0.5397,0.8485
jpeg95_x2,clip_only_4v,1400,0.9510,0.9399,0.9612,0.5044,0.7765
jpeg95_x2,clip_only_5v,1400,0.9520,0.9412,0.9624,0.5382,0.7897
jpeg95_x2,forensic_4v,1400,0.9644,0.9551,0.9727,0.5632,0.8662
jpeg95_x2,forensic_5v,1400,0.9637,0.9544,0.9722,0.5559,0.8471
