transform,n_all,n_synthetic,n_tampered,auc_all,auc_synthetic,auc_synthetic_lo,auc_synthetic_hi,auc_tampered,tpr1_all,tpr1_synthetic,tpr5_all,tpr5_synthetic
clean,1400,1053,1067,0.9812,0.9902,0.9860,0.9939,0.9727,0.7338,0.8198,0.9103,0.9459
jpeg_90,1400,1053,1067,0.9832,0.9917,0.9879,0.9951,0.9750,0.7235,0.8108,0.9250,0.9610
jpeg_70,1400,1053,1067,0.9867,0.9945,0.9917,0.9968,0.9792,0.7750,0.8679,0.9456,0.9760
jpeg_50,1400,1053,1067,0.9825,0.9937,0.9906,0.9964,0.9717,0.7074,0.8498,0.9265,0.9700
jpeg_30,1400,1053,1067,0.9731,0.9871,0.9824,0.9917,0.9598,0.5500,0.6877,0.8676,0.9279
blur_0.5,1400,1053,1067,0.9814,0.9900,0.9857,0.9938,0.9732,0.6882,0.7748,0.9191,0.9520
blur_1.0,1400,1053,1067,0.9789,0.9908,0.9860,0.9947,0.9676,0.7176,0.8438,0.9103,0.9640
blur_2.0,1400,1053,1067,0.9727,0.9917,0.9869,0.9956,0.9544,0.6706,0.8559,0.8662,0.9670
resize_0.5,1400,1053,1067,0.9794,0.9922,0.9877,0.9958,0.9671,0.7176,0.8589,0.9118,0.9670
resize_0.25,1400,1053,1067,0.9675,0.9911,0.9864,0.9951,0.9449,0.6044,0.8258,0.8441,0.9670
noise_0.02,1400,1053,1067,0.9782,0.9882,0.9828,0.9929,0.9687,0.6015,0.6697,0.9118,0.9550
noise_0.05,1400,1053,1067,0.9756,0.9872,0.9819,0.9921,0.9645,0.5000,0.5946,0.9088,0.9610
noise_0.10,1400,1053,1067,0.9689,0.9838,0.9780,0.9892,0.9546,0.5426,0.6727,0.8603,0.9279
jitter_0.20,1400,1053,1067,0.9676,0.9784,0.9713,0.9852,0.9571,0.5397,0.5886,0.8632,0.9099
crop_0.80,1400,1053,1067,0.9792,0.9883,0.9833,0.9927,0.9704,0.6941,0.7748,0.9074,0.9459
