transform,n,acc,auc,auc_lo,auc_hi,tpr_at_1fpr,tpr_at_5fpr
clean,1400,0.9286,0.9812,0.9749,0.9868,0.7338,0.9103
jpeg_90,1400,0.9414,0.9832,0.9769,0.9884,0.7235,0.9250
jpeg_70,1400,0.9450,0.9867,0.9814,0.9912,0.7750,0.9456
jpeg_50,1400,0.9371,0.9825,0.9767,0.9876,0.7074,0.9265
jpeg_30,1400,0.9121,0.9731,0.9656,0.9802,0.5500,0.8676
blur_0.5,1400,0.9250,0.9814,0.9750,0.9868,0.6882,0.9191
blur_1.0,1400,0.8636,0.9789,0.9719,0.9850,0.7176,0.9103
blur_2.0,1400,0.9021,0.9727,0.9646,0.9794,0.6706,0.8662
resize_0.5,1400,0.8879,0.9794,0.9723,0.9853,0.7176,0.9118
resize_0.25,1400,0.8950,0.9675,0.9584,0.9750,0.6044,0.8441
noise_0.02,1400,0.9257,0.9782,0.9709,0.9848,0.6015,0.9118
noise_0.05,1400,0.9171,0.9756,0.9678,0.9825,0.5000,0.9088
noise_0.10,1400,0.9193,0.9689,0.9600,0.9768,0.5426,0.8603
jitter_0.20,1400,0.9036,0.9676,0.9593,0.9752,0.5397,0.8632
crop_0.80,1400,0.9300,0.9792,0.9726,0.9850,0.6941,0.9074
