transform,n,acc,auc,auc_lo,auc_hi,tpr_at_1fpr,tpr_at_5fpr
clean,1400,0.9257,0.9797,0.9733,0.9853,0.7441,0.9015
jpeg_90,1400,0.9314,0.9831,0.9771,0.9882,0.7691,0.9353
jpeg_70,1400,0.9457,0.9897,0.9852,0.9935,0.7971,0.9618
jpeg_50,1400,0.9129,0.9792,0.9725,0.9851,0.6956,0.8956
jpeg_30,1400,0.9229,0.9756,0.9682,0.9821,0.6324,0.8897
blur_0.5,1400,0.9293,0.9805,0.9743,0.9861,0.7456,0.9147
blur_1.0,1400,0.9114,0.9791,0.9723,0.9849,0.7529,0.9103
blur_2.0,1400,0.9029,0.9728,0.9648,0.9797,0.7132,0.8618
resize_0.5,1400,0.9264,0.9790,0.9721,0.9848,0.7456,0.9103
resize_0.25,1400,0.8900,0.9561,0.9454,0.9652,0.5765,0.7735
noise_0.02,1400,0.8979,0.9659,0.9569,0.9738,0.5985,0.8529
noise_0.05,1400,0.9029,0.9660,0.9564,0.9740,0.5941,0.8574
noise_0.10,1400,0.9014,0.9567,0.9461,0.9663,0.5485,0.7706
jitter_0.20,1400,0.8971,0.9637,0.9550,0.9717,0.6206,0.8221
crop_0.80,1400,0.8993,0.9701,0.9620,0.9774,0.6588,0.8559
