transform,head,n,acc,auc,auc_lo,auc_hi
clean,clip_only_4v,2000,0.7290,0.8094,0.7902,0.8279
clean,clip_only_5v,2000,0.7080,0.7799,0.7599,0.8003
clean,forensic_4v,2000,0.8530,0.9189,0.9063,0.9303
clean,forensic_5v,2000,0.8575,0.9334,0.9223,0.9440
jpeg_30,clip_only_4v,2000,0.7175,0.7957,0.7763,0.8145
jpeg_30,clip_only_5v,2000,0.7185,0.7895,0.7697,0.8086
jpeg_30,forensic_4v,2000,0.8185,0.9134,0.9012,0.9248
jpeg_30,forensic_5v,2000,0.8075,0.9327,0.9219,0.9423
resize_0.25,clip_only_4v,2000,0.5070,0.5392,0.5147,0.5657
resize_0.25,clip_only_5v,2000,0.4880,0.5085,0.4841,0.5352
resize_0.25,forensic_4v,2000,0.7170,0.7938,0.7735,0.8133
resize_0.25,forensic_5v,2000,0.6715,0.7536,0.7321,0.7751
noise_0.05,clip_only_4v,2000,0.6650,0.7741,0.7543,0.7941
noise_0.05,clip_only_5v,2000,0.7370,0.8137,0.7956,0.8319
noise_0.05,forensic_4v,2000,0.7290,0.8518,0.8350,0.8679
noise_0.05,forensic_5v,2000,0.8545,0.9290,0.9173,0.9396
