transform,n,acc,auc,auc_lo,auc_hi,tpr_at_1fpr,tpr_at_5fpr
clean,1400,0.9007,0.9629,0.9534,0.9714,0.5456,0.8485
jpeg_90,1400,0.9107,0.9658,0.9569,0.9740,0.5559,0.8574
jpeg_70,1400,0.9186,0.9736,0.9658,0.9806,0.6103,0.8882
jpeg_50,1400,0.9079,0.9667,0.9580,0.9747,0.5250,0.8515
jpeg_30,1400,0.8843,0.9557,0.9459,0.9655,0.4971,0.7838
blur_0.5,1400,0.8979,0.9638,0.9542,0.9723,0.5235,0.8515
blur_1.0,1400,0.8593,0.9622,0.9526,0.9708,0.5750,0.8338
blur_2.0,1400,0.8793,0.9536,0.9425,0.9634,0.5279,0.7926
resize_0.5,1400,0.8657,0.9621,0.9523,0.9708,0.5691,0.8176
resize_0.25,1400,0.8714,0.9472,0.9355,0.9579,0.5074,0.7765
noise_0.02,1400,0.8929,0.9572,0.9465,0.9667,0.4529,0.8176
noise_0.05,1400,0.8843,0.9563,0.9452,0.9659,0.4103,0.8206
noise_0.10,1400,0.8957,0.9512,0.9397,0.9615,0.3588,0.7824
jitter_0.20,1400,0.8657,0.9411,0.9292,0.9522,0.3500,0.7294
crop_0.80,1400,0.8921,0.9578,0.9479,0.9669,0.4838,0.7971
